id	AR-Ds-Lnc-2-1_count	AR-Ds-Lnc-2-2_count	AR-Ds-Lnc-2-3_count	Do-Ds-2-Lnc_count	Do-Ds-3-Lnc_count	Do-Ds-4-Lnc_count	AR-Ds-Lnc-2-1_fpkm	AR-Ds-Lnc-2-2_fpkm	AR-Ds-Lnc-2-3_fpkm	Do-Ds-2-Lnc_fpkm	Do-Ds-3-Lnc_fpkm	Do-Ds-4-Lnc_fpkm	AR-Ds_mean	Do-Ds_mean	log2(fc)	PValue	FDR
OS03T0128700-01	1116	2691	2596	131691	113510	75404	21.43	32.27	31.64	1322.62	1289.47	1106.46	28.4466666666667	1239.51666666667	5.44537425013558	4.33994893972369e-143	1.36929728997222e-138
OS01T0633100-01	129	590	564	70815	58104	39964	2.94	8.39	8.14	842.35	781.76	694.54	6.49	772.883333333333	6.89588836745422	3.95068876094238e-86	6.23240905482466e-82
OS08T0345800-01	34622	80387	87312	3982	4529	1910	1073.85	1558.10	1719.60	64.63	83.15	45.28	1450.51666666667	64.3533333333333	-4.49440818401248	1.1938905324116e-65	1.25561467293727e-61
OS05T0453300-01	27	27	57	1488	1446	772	0.59	0.37	0.80	17.18	18.88	13.02	0.586666666666667	16.36	4.80148791502561	5.35440730022329e-59	4.22342261823362e-55
OS09T0508300-01	126	176	167	1015	1205	743	3.29	2.89	2.77	13.91	18.68	14.87	2.98333333333333	15.82	2.40675251304233	5.16629221035031e-48	3.26003371057525e-44
OS03T0316200-01	167	457	556	5077	7219	4533	6.46	11.03	13.63	102.56	164.95	133.79	10.3733333333333	133.766666666667	3.68876719068117	2.8952837952696e-47	1.52248498374252e-43
OS04T0390800-01	1390	2814	2958	10640	13305	8231	61.10	77.33	82.58	244.80	346.24	276.68	73.67	289.24	1.97311793363596	2.0294526966968e-44	9.14732314764012e-41
OS10T0167300-01	3626	5741	6623	1346	1732	855	118.94	117.68	137.95	23.10	33.63	21.45	124.856666666667	26.06	-2.26036386636968	9.52045261652787e-40	3.75474750630088e-36
OS12T0244100-03	5508	7617	7783	0	0	0	178.84	154.55	160.45	0.00	0.00	0.00	164.613333333333	0.001	-17.3287216701892	2.82031356090776e-37	9.88707924002229e-34
OS12T0244100-04	0	0	1	25223	15201	10209	0.00	0.00	0.03	552.48	376.61	326.72	0.01	418.603333333333	15.3532961793522	4.36760140847471e-37	1.37802192038786e-33
