Gene	Sample	Exp	Group	Gene_Type
TCONS_00001737	QX1-1	0.91	T5	lncRNA
TCONS_00001737	QX1-2	1.18	T5	lncRNA
TCONS_00001737	QX1-3	1.22	T5	lncRNA
TCONS_00001737	QX5-1	1.22	T6	lncRNA
TCONS_00001737	QX5-2	0.97	T6	lncRNA
TCONS_00001737	QX5-3	0.82	T6	lncRNA
TCONS_00012459	QX1-1	0.43	T5	lncRNA
TCONS_00012459	QX1-2	0.38	T5	lncRNA
TCONS_00012459	QX1-3	0.52	T5	lncRNA
TCONS_00012459	QX5-1	0.27	T6	lncRNA
TCONS_00012459	QX5-2	0.50	T6	lncRNA
TCONS_00012459	QX5-3	0.48	T6	lncRNA
TCONS_00016735	QX1-1	2.06	T5	lncRNA
TCONS_00016735	QX1-2	2.56	T5	lncRNA
TCONS_00016735	QX1-3	2.03	T5	lncRNA
TCONS_00016735	QX5-1	1.50	T6	lncRNA
TCONS_00016735	QX5-2	1.08	T6	lncRNA
TCONS_00016735	QX5-3	0.91	T6	lncRNA
TCONS_00018494	QX1-1	0.00	T5	lncRNA
TCONS_00018494	QX1-2	0.00	T5	lncRNA
TCONS_00018494	QX1-3	0.00	T5	lncRNA
TCONS_00018494	QX5-1	0.00	T6	lncRNA
TCONS_00018494	QX5-2	0.26	T6	lncRNA
TCONS_00018494	QX5-3	0.00	T6	lncRNA
TCONS_00029336	QX1-1	0.00	T5	lncRNA
TCONS_00029336	QX1-2	0.00	T5	lncRNA
TCONS_00029336	QX1-3	0.00	T5	lncRNA
TCONS_00029336	QX5-1	0.00	T6	lncRNA
TCONS_00029336	QX5-2	0.00	T6	lncRNA
TCONS_00029336	QX5-3	0.00	T6	lncRNA
TCONS_00031541	QX1-1	0.00	T5	lncRNA
TCONS_00031541	QX1-2	0.00	T5	lncRNA
TCONS_00031541	QX1-3	0.00	T5	lncRNA
TCONS_00031541	QX5-1	0.00	T6	lncRNA
TCONS_00031541	QX5-2	0.00	T6	lncRNA
TCONS_00031541	QX5-3	0.00	T6	lncRNA
TCONS_00033592	QX1-1	0.00	T5	lncRNA
TCONS_00033592	QX1-2	0.00	T5	lncRNA
TCONS_00033592	QX1-3	0.00	T5	lncRNA
TCONS_00033592	QX5-1	0.00	T6	lncRNA
TCONS_00033592	QX5-2	0.00	T6	lncRNA
TCONS_00033592	QX5-3	0.00	T6	lncRNA
TCONS_00034830	QX1-1	0.14	T5	lncRNA
TCONS_00034830	QX1-2	0.12	T5	lncRNA
TCONS_00034830	QX1-3	0.22	T5	lncRNA
TCONS_00034830	QX5-1	0.36	T6	lncRNA
TCONS_00034830	QX5-2	0.08	T6	lncRNA
TCONS_00034830	QX5-3	0.14	T6	lncRNA
TCONS_00049103	QX1-1	0.00	T5	lncRNA
TCONS_00049103	QX1-2	0.00	T5	lncRNA
TCONS_00049103	QX1-3	0.03	T5	lncRNA
TCONS_00049103	QX5-1	0.00	T6	lncRNA
TCONS_00049103	QX5-2	0.00	T6	lncRNA
TCONS_00049103	QX5-3	0.00	T6	lncRNA
TCONS_00052677	QX1-1	0.00	T5	lncRNA
TCONS_00052677	QX1-2	0.00	T5	lncRNA
TCONS_00052677	QX1-3	0.00	T5	lncRNA
TCONS_00052677	QX5-1	0.00	T6	lncRNA
TCONS_00052677	QX5-2	0.00	T6	lncRNA
TCONS_00052677	QX5-3	0.00	T6	lncRNA
TCONS_00054164	QX1-1	0.00	T5	lncRNA
TCONS_00054164	QX1-2	0.00	T5	lncRNA
TCONS_00054164	QX1-3	0.00	T5	lncRNA
TCONS_00054164	QX5-1	0.00	T6	lncRNA
TCONS_00054164	QX5-2	0.00	T6	lncRNA
TCONS_00054164	QX5-3	0.00	T6	lncRNA
TCONS_00075593	QX1-1	3.26	T5	lncRNA
TCONS_00075593	QX1-2	3.56	T5	lncRNA
TCONS_00075593	QX1-3	3.38	T5	lncRNA
TCONS_00075593	QX5-1	1.50	T6	lncRNA
TCONS_00075593	QX5-2	0.67	T6	lncRNA
TCONS_00075593	QX5-3	0.38	T6	lncRNA
TCONS_00077359	QX1-1	0.45	T5	lncRNA
TCONS_00077359	QX1-2	0.27	T5	lncRNA
TCONS_00077359	QX1-3	0.37	T5	lncRNA
TCONS_00077359	QX5-1	0.66	T6	lncRNA
TCONS_00077359	QX5-2	0.46	T6	lncRNA
TCONS_00077359	QX5-3	0.44	T6	lncRNA
TCONS_00083068	QX1-1	0.42	T5	lncRNA
TCONS_00083068	QX1-2	0.73	T5	lncRNA
TCONS_00083068	QX1-3	0.76	T5	lncRNA
TCONS_00083068	QX5-1	0.54	T6	lncRNA
TCONS_00083068	QX5-2	0.25	T6	lncRNA
TCONS_00083068	QX5-3	0.35	T6	lncRNA
TCONS_00117586	QX1-1	0.21	T5	lncRNA
TCONS_00117586	QX1-2	0.32	T5	lncRNA
TCONS_00117586	QX1-3	0.29	T5	lncRNA
TCONS_00117586	QX5-1	0.09	T6	lncRNA
TCONS_00117586	QX5-2	0.06	T6	lncRNA
TCONS_00117586	QX5-3	0.04	T6	lncRNA
TCONS_00128173	QX1-1	0.28	T5	lncRNA
TCONS_00128173	QX1-2	0.19	T5	lncRNA
TCONS_00128173	QX1-3	0.13	T5	lncRNA
TCONS_00128173	QX5-1	0.28	T6	lncRNA
TCONS_00128173	QX5-2	0.28	T6	lncRNA
TCONS_00128173	QX5-3	0.16	T6	lncRNA
TCONS_00131967	QX1-1	0.02	T5	lncRNA
TCONS_00131967	QX1-2	0.11	T5	lncRNA
TCONS_00131967	QX1-3	0.00	T5	lncRNA
TCONS_00131967	QX5-1	0.18	T6	lncRNA
TCONS_00131967	QX5-2	0.10	T6	lncRNA
TCONS_00131967	QX5-3	0.14	T6	lncRNA
TCONS_00145953	QX1-1	1.41	T5	lncRNA
TCONS_00145953	QX1-2	1.30	T5	lncRNA
TCONS_00145953	QX1-3	1.49	T5	lncRNA
TCONS_00145953	QX5-1	1.43	T6	lncRNA
TCONS_00145953	QX5-2	0.93	T6	lncRNA
TCONS_00145953	QX5-3	0.88	T6	lncRNA
TCONS_00146550	QX1-1	0.43	T5	lncRNA
TCONS_00146550	QX1-2	1.41	T5	lncRNA
TCONS_00146550	QX1-3	1.45	T5	lncRNA
TCONS_00146550	QX5-1	1.10	T6	lncRNA
TCONS_00146550	QX5-2	0.73	T6	lncRNA
TCONS_00146550	QX5-3	0.62	T6	lncRNA
TCONS_00155333	QX1-1	0.96	T5	lncRNA
TCONS_00155333	QX1-2	1.53	T5	lncRNA
TCONS_00155333	QX1-3	1.22	T5	lncRNA
TCONS_00155333	QX5-1	0.99	T6	lncRNA
TCONS_00155333	QX5-2	0.80	T6	lncRNA
TCONS_00155333	QX5-3	0.70	T6	lncRNA
TCONS_00157567	QX1-1	0.07	T5	lncRNA
