Gene	LA	SB	DS	DH
Unigene151513	0.0943666666666667	0	0	0
Unigene602000	0	0	0.508166666666667	0
Unigene593321	0	0	0.583433333333333	0
Unigene381705	0.002	1.7538	0	0
Unigene893995	0.0114666666666667	0.00856666666666667	0	3.9974
Unigene364084	0	2.97853333333333	0.0769	0
Unigene638498	0	0	8.47423333333333	0.0413333333333333
Unigene100854	0.591433333333333	0.0115	0.331333333333333	5.24463333333333
Unigene1143000	0	0	0	2.614
Unigene1124895	0	0	0.0302666666666667	15.4324666666667
Unigene971648	0	0	0	11.6425666666667
Unigene712748	0	0	5.3079	0
Unigene266659	0	1.65146666666667	0	0
Unigene921850	0.0023	0.0041	0	7.71413333333333
Unigene1261932	0	0	0	3.54003333333333
Unigene196104	0	2.43556666666667	0	0.0241
Unigene207145	0.0166	12.8117	0	4.2657
Unigene887731	0.0879333333333333	0.690233333333333	0	8.72333333333333
Unigene609083	0.0738666666666667	0	158.6535	0
Unigene1033686	0	0.0574666666666667	0.0339	27.6527
Unigene607485	0	0	0.494966666666667	0
Unigene19250	7.89736666666667	38.4781333333333	0	0.0086
Unigene441621	0.8449	1.32686666666667	0	0
Unigene37571	4.59783333333333	1.026	0	0
Unigene80598	1.21583333333333	1.56146666666667	1.63356666666667	0.0241666666666667
Unigene470913	0.3628	0.790233333333333	0.330366666666667	0.0093
Unigene13846	7.9247	1.31876666666667	9.89823333333333	11.3681333333333
Unigene1145796	0	0	0	1.78453333333333
Unigene614725	0	0	0.541	0
Unigene1172191	0	0	0.0057	10.6146666666667
Unigene1353135	0	0.0216333333333333	0	1.66273333333333
Unigene1126182	0	0	0	3.48783333333333
Unigene94352	0.356433333333333	0.0257	0.0306	0.0845333333333333
Unigene227940	0.223933333333333	0.635533333333333	0	0
Unigene133193	0.8168	0	0	0.362466666666667
Unigene1045130	0	0	0	1.93403333333333
Unigene1037914	0	0	0	1.79673333333333
Unigene347308	0	1.68436666666667	0	0
Unigene399017	0.0071	0.578066666666667	0	0
Unigene592116	0	0	0.564166666666667	0
Unigene914029	0	0.0017	0	5.98116666666667
Unigene445150	0	0.1787	0	0
Unigene908836	0	0	0.2173	9.68963333333333
Unigene592363	0	0	0.558233333333333	0
Unigene341597	0	5.3021	0	0
Unigene24375	6.86163333333333	0.961266666666667	9.41383333333333	10.3900333333333
Unigene159594	0.170066666666667	0	0.424833333333333	0.289766666666667
Unigene1355676	0	0.0088	0.0373333333333333	12.1381
Unigene627202	0	0.00296666666666667	2.8719	0
Unigene1251770	0	0	0.0350666666666667	11.9904333333333
Unigene127060	0.716866666666667	0.0156333333333333	0.0478	5.17016666666667
Unigene945502	0.00383333333333333	0.0725	0.267833333333333	21.0529333333333
Unigene1223976	0.00276666666666667	0	0	1.69986666666667
Unigene237678	0	2.84593333333333	0	0
Unigene762166	0.268666666666667	0.0015	6.73146666666667	0.765733333333333
Unigene983308	0	0	0	5.35693333333333
Unigene902938	0.0028	0.00296666666666667	0	4.99336666666667
Unigene987395	0	0	0	10.6646
Unigene984001	0	0	0.708266666666667	4.8757
Unigene1113422	10.3614666666667	1.66523333333333	11.3259	15.7938333333333
Unigene211608	0.0272333333333333	0.950966666666667	0	0
Unigene642723	0	0.003	8.2319	0.0109
Unigene970772	0.0562333333333333	0.8973	0	14.133
Unigene600124	0	0.00306666666666667	4.46996666666667	0
Unigene1224362	0	0	0	0.850333333333333
Unigene1308080	0	0	0	1.41203333333333
Unigene606113	0	0	0.6279	0
Unigene736486	0	0	8.49313333333333	0.0338
Unigene26117	0.988	0.9276	0.131466666666667	0.0830333333333333
Unigene930639	0	0	0	4.23933333333333
Unigene231741	0	1.33823333333333	0	0
Unigene1001806	0	0.0032	0	5.34503333333333
Unigene858948	0	0	7.38286666666667	0
Unigene116014	0.332966666666667	0.722566666666667	0	0
Unigene1354039	0	0	0	8.6415
Unigene375025	2.62786666666667	37.7719666666667	1.002	2.44876666666667
Unigene963189	0	0.0016	0.0135	6.302
Unigene1208995	0	0	0	2.0068
Unigene126638	0.2978	0	0	0.0836666666666667
Unigene882596	0	0	0.0270666666666667	2.10446666666667
Unigene1090020	0	0	0	5.43893333333333
Unigene261469	0.00413333333333333	0.699866666666667	0	0
Unigene83503	7.43443333333333	0.2114	0.0052	0.0555333333333333
Unigene554929	0	0.2689	0	0
Unigene1068893	0	0	0	7.49343333333333
Unigene1140133	0	0	0	3.21143333333333
Unigene16670	4.09703333333333	0.9232	0	0.0108333333333333
Unigene954768	0	0	0	23.5034333333333
Unigene1121111	0	0.00756666666666667	0.1411	14.4584333333333
Unigene224825	0.0166666666666667	0.9673	0	0.117333333333333
Unigene306035	7.88726666666667	38.308	0	0.0133333333333333
Unigene1035750	0	0.0038	0.6925	4.72246666666667
Unigene365275	0.567533333333333	0.7984	0.0247666666666667	0.842866666666667
Unigene737960	0.887466666666667	0.945866666666667	7.76503333333333	1.32543333333333
Unigene1260565	0	0	0	2.12253333333333
Unigene938743	0	0	0	6.08156666666667
Unigene326158	0	0.586933333333333	0	0
Unigene53896	8.0783	1.7281	0.0331333333333333	0.825
Unigene280824	0	3.65073333333333	0	0
Unigene1022912	0	0.0065	0.0110666666666667	3.51473333333333
Unigene1145610	0	0	0	2.5585
Unigene202204	0.659933333333333	2.9345	0.263066666666667	0.126166666666667
Unigene1034497	0.832866666666667	0.00816666666666667	0.1485	5.2684
Unigene420067	0.0042	2.4834	0.025	0
Unigene47277	4.06206666666667	61.381	112.866066666667	0.0725666666666667
Unigene1149169	0	0	0.00696666666666667	2.09473333333333
Unigene1299853	0	0.0077	0.1438	11.8689666666667
Unigene1343775	0	0	0	2.31176666666667
Unigene898876	0.0056	0.144466666666667	0.00536666666666667	1.9472
Unigene405420	0.320266666666667	1.05036666666667	0.175166666666667	0.0442666666666667
Unigene1131240	0	0	0	2.1044
Unigene297934	0.202966666666667	1.70473333333333	0.156666666666667	0.103866666666667
Unigene398982	0.0153333333333333	0.401133333333333	0	0
Unigene403158	0	32.5845666666667	0	0
Unigene1269786	0	0	0.1421	4.48403333333333
Unigene320687	0.0086	0.986433333333333	0	0
Unigene917505	0	0	0	20.4694333333333
Unigene205147	0.0052	0.530333333333333	0	0
Unigene1237822	0	0	0	2.07803333333333
Unigene1089292	0	0.00393333333333333	0.0970666666666667	5.8969
Unigene413479	0.0193	0.4807	0	0
Unigene249229	0	0.6476	0.0143	0
Unigene1012252	0	0.00396666666666667	0.765733333333333	5.37333333333333
Unigene316097	0.0886	4.46383333333333	0.0373	0
Unigene66935	0.831433333333333	0.909566666666667	0	0
Unigene879574	0.00436666666666667	0.0509	0	21.7804333333333
Unigene609574	0.00156666666666667	0	0.7828	0.131566666666667
Unigene1157602	0	0	0	2.9517
Unigene1196926	0	0	0.00553333333333333	2.21626666666667
Unigene64501	0.468833333333333	0.0238666666666667	0.0145	0.0453
Unigene883378	0	0	0	4.28343333333333
Unigene601475	0	0	5.21653333333333	0
Unigene1160248	0	0	0	2.53496666666667
Unigene346056	0.1379	1.24983333333333	0.0233666666666667	9.9459
Unigene910963	0	0	0	2.77693333333333
Unigene79237	3.67466666666667	0.0423	0.137933333333333	0.6352
Unigene204835	0.0134	2.41203333333333	0	0.0241666666666667
Unigene1142587	0	0	0	3.98263333333333
Unigene1121288	0	0	0	1.65586666666667
Unigene79209	7.3019	0.2453	0.0146	0.0385
Unigene31525	13.27	11.739	0	0.148733333333333
Unigene924109	0	0	0.0147666666666667	13.6309
Unigene361982	0.0524666666666667	0.434	0.0118	0.0117
Unigene62538	0.7936	0.9694	0.102233333333333	0
Unigene1054035	0	0	0	25.4458
Unigene224972	0.00896666666666667	0.774033333333333	0	0
Unigene740365	0	0	6.82866666666667	0
Unigene586497	0.0706333333333333	0.00203333333333333	99.7507	0
Unigene271311	0.127133333333333	1.9649	0.0607666666666667	0.0117333333333333
Unigene242074	0	1.51986666666667	0	0
Unigene18720	306.621166666667	148.9633	0.122266666666667	1.3698
Unigene875548	0	0.0367333333333333	0.0654666666666667	24.9729333333333
Unigene291498	0	0.2962	0	0
Unigene245925	0	0.560366666666667	0	0
Unigene120184	0.532366666666667	0.0210666666666667	0.00746666666666667	0.0958
Unigene1015485	0	0.0369333333333333	0	27.8983
Unigene1338365	0	0	0	1.51816666666667
Unigene387926	0	0.4018	0	0.0145666666666667
Unigene48496	3.1341	7.045	59.8634666666667	0.469533333333333
Unigene225970	0.0124333333333333	8.88593333333333	0	0
Unigene890664	0.1429	0	1.98136666666667	13.7482666666667
Unigene1337352	0	0	0	1.3868
Unigene390064	0	1.5971	0	0.0120333333333333
Unigene146922	0.710966666666667	0.377333333333333	0.3302	0.1012
Unigene536004	0	0.3116	0.1614	0
Unigene1022171	0	0	0.639733333333333	4.57226666666667
Unigene907761	0	0.0127333333333333	0	8.50443333333333
Unigene591102	0	0	11.0834666666667	0
Unigene329172	0.00233333333333333	0.586766666666667	0	0
Unigene149245	1.38216666666667	0.0315333333333333	0	0.0583
Unigene1138081	0	0	0	2.65013333333333
Unigene1154232	0	0	0	1.6073
Unigene42758	11.5577333333333	9.8518	0	0.120033333333333
Unigene307921	0	1.25226666666667	0	0
Unigene604340	1.74663333333333	1.61016666666667	1.22273333333333	0.0578333333333333
Unigene282444	0.0222	0.438066666666667	0	0
Unigene441626	0.7821	1.53703333333333	0.0216666666666667	0.0133333333333333
Unigene907594	0	0	0.873266666666667	6.03893333333333
Unigene1276438	0	0	0	1.8378
Unigene582583	0	0	6.18493333333333	0
Unigene1011528	0	0	0.1589	5.20296666666667
Unigene188422	0.0694	5.312	0	0.0153
Unigene916007	0	0	0	3.144
Unigene356566	0	0.550066666666667	0	0
Unigene1223476	0	0	0	2.21603333333333
Unigene1209887	0	0	0	1.71573333333333
Unigene278597	0	2.11836666666667	0	0
Unigene285969	0	0.342933333333333	0	0
Unigene900160	0	0	0	2.98403333333333
Unigene1365754	0	0	0	1.2971
Unigene1347881	0	0	0	1.9635
Unigene1246803	0	0	0	2.0933
Unigene902649	0	0.0019	0	18.8600333333333
Unigene1052224	0	0	0	6.34693333333333
Unigene1069653	0	0	0	3.25683333333333
Unigene84468	2.55393333333333	4.4544	32.1519	0.406633333333333
Unigene377257	0.0165	0.434933333333333	0	0
Unigene675789	0	0	2.45323333333333	0
Unigene66147	8.93296666666667	1.8833	0.0162333333333333	1.06586666666667
Unigene1117303	0	0	0	2.66963333333333
Unigene216033	0.369666666666667	6.2327	0	5.07453333333333
Unigene1080900	0	0	0	24.1156333333333
Unigene599639	0	0	0.548933333333333	0
Unigene949384	0	0	0.0130333333333333	2.5917
Unigene1122601	0	0.0045	0	24.1073
