id	M1-Ovary-1d	M1-Ovary-4d	M1-Ovary-7d	W-Ovary-1d	W-Ovary-4d	W-Ovary-7d
ENSMUSG00000003555/Cyp17a1	39.18	98.10	35.26	64.40	78.69	18.18
ENSMUSG00000004815/Dgkq	2.21	2.40	2.44	2.09	1.99	2.82
ENSMUSG00000018167/Stard3	12.90	14.41	14.04	15.93	17.87	13.07
ENSMUSG00000020919/Stat5b	15.61	19.71	13.52	17.17	19.28	15.69
ENSMUSG00000021207/Akr1c21	0.00	0.00	0.00	0.05	0.00	0.05
ENSMUSG00000021210/Akr1c6	0.10	0.00	1.12	0.08	0.11	0.00
ENSMUSG00000021214/Akr1c18	1.52	0.23	0.37	0.10	0.13	0.00
ENSMUSG00000021259/Cyp46a1	0.60	0.28	0.97	0.26	0.31	1.06
ENSMUSG00000021594/Srd5a1	6.74	12.34	7.81	8.32	6.08	10.70
ENSMUSG00000024365/Cyp21a1	0.03	0.10	0.08	0.03	0.02	0.08
ENSMUSG00000025955/Akr1cl	327.39	522.61	683.86	577.48	391.45	742.31
ENSMUSG00000027068/Dhrs9	3.86	5.24	1.13	3.92	6.66	1.63
ENSMUSG00000028603/Scp2	161.66	143.55	189.19	124.78	171.22	224.90
ENSMUSG00000029167/Ppargc1a	1.27	1.08	1.84	1.66	0.81	1.43
ENSMUSG00000033715/Akr1c14	76.52	81.03	127.17	134.66	67.62	178.09
ENSMUSG00000038418/Egr1	55.99	69.63	54.05	125.92	192.00	109.58
ENSMUSG00000054757/Akr1c20	0.00	0.00	0.14	0.05	0.11	0.00
ENSMUSG00000054932/Afp	0.00	0.00	0.03	0.06	0.02	0.00
