Deep	1	2	3	4	5	6	7	8
100	99	101	107.31	101.33	102.62	103.42	104.52	105.75
90	90.75	91.79	96.00	94.25	92.88	90.90	93.93	94.39
80	77.62	78.89	83.47	81.18	82.51	81.06	83.28	83.39
70	66.46	66.64	71.62	70.87	70.12	67.41	70.49	70.97
60	56.94	57.45	61.33	60.28	59.51	59.20	58.73	58.92
50	46.30	47.82	49.86	50.60	49.68	50.18	51.19	53.27
40	37.37	36.15	40.02	41.04	40.03	39.62	39.96	42.57
30	27.76	27.86	29.33	29.70	29.09	29.31	30.14	31.11
20	19.60	19.21	20.18	19.07	20.08	23.20	23.49	22.26
10	9.73	9.66	10.12	9.64	9.99	11.18	11.46	11.10
5	5.41	5.41	5.55	5.27	5.76	6.33	6.48	6.32
1	1.08	1.08	1.16	1.10	1.20	1.35	1.34	1.31
0.50	0.57	0.59	0.55	0.41	0.45	0.55	0.54	0.50
0.20	0.27	0.29	0.31	0.18	0.20	0.26	0.23	0.21
