Gene	RNA_log2FC	Meth_diff
MA_10001337g0010	-1.36986779838743	0
MA_10011775g0010	-2.40226506539297	0
MA_10013703g0010	2.04275533762502	0
MA_1001810g0010	2.41605027225191	0
MA_1001810g0020	1.80495642600909	0
MA_10018650g0010	-1.08751220888396	0
MA_100190g0010	-2.78836220671456	0
MA_10022392g0010	-1.9362514120972	0
MA_10027g0010	1.0578878546015	0
MA_10028g0010	-3.69096385457804	0
MA_10029973g0010	-1.37289477894124	0
MA_10035211g0010	7.23146948598834	0
MA_10036146g0010	10.9464189597952	0
MA_10038541g0010	-1.74952692905569	0
MA_10040687g0010	-1.19167170893602	0
MA_10043178g0010	-2.73829465463873	0
MA_100435g0010	-1.75197001878118	0
MA_10048172g0010	-1.08719711729975	0
MA_10048552g0010	1.11771753575188	0
MA_10050700g0010	-1.83591897820177	0
MA_100525g0010	6.62935662007961	0
MA_10053838g0010	7.07788386443832	0
MA_10054144g0010	2.88885508510394	0
MA_10054525g0010	3.58179522164247	0
MA_100548g0010	1.58912012619481	0
MA_10054g0010	1.79418308080868	0
MA_10055333g0010	-3.51496233662501	0
MA_10055697g0010	-4.32643856664338	0
MA_100558g0010	-3.02106161552783	0
MA_100579g0010	1.54024774683735	0
MA_10058543g0010	11.5443205162238	0
MA_10060152g0010	-1.01981218215984	0
MA_10060779g0010	2.05615645943264	0
MA_10061167g0010	1.71263319997582	0
MA_10061366g0010	-1.11481806126971	0
MA_10061449g0010	-9.35901741362258	0
MA_10061g0010	3.17684762849587	0
MA_10064214g0010	-1.31031490990991	0
MA_10067279g0010	-1.43276997664934	0
MA_10067743g0010	2.39609027263141	0
MA_10070162g0010	-1.74313850412547	0
MA_10070756g0010	2.54899700343328	0
MA_100722g0010	1.26276278857969	0
MA_10074g0010	2.73068829923161	0
MA_10076833g0010	-1.50029165809903	0
MA_10078828g0010	-1.53668768382803	0
MA_10080571g0010	1.96193195916648	0
MA_10083496g0010	2.67914493977786	0
MA_10086471g0010	-1.79024325470261	0
MA_10086718g0010	-1.01196734485514	0
MA_10087424g0010	1.30915645170324	0
MA_10090427g0010	1.53338847673711	0
MA_100910g0020	1.11303528832817	0
MA_10091665g0010	1.00116986572136	0
MA_10092g0010	-1.2634147038374	0
MA_10096503g0010	-1.43834095557781	0
MA_10097402g0010	-1.70390357344467	0
MA_10098066g0010	2.21300195857651	0
MA_10098803g0010	-1.61295139995744	0
MA_10098847g0010	1.94404359402599	0
MA_10099341g0010	2.65052271936428	0
MA_10099391g0010	5.0	51.26320678044815
MA_101003g0010	-1.54187367844486	0
MA_10102283g0010	10.3735902147099	0
MA_10103038g0010	-3.58086446169717	21.846710398808032
MA_10103335g0010	3.20013961448932	0
MA_10103971g0010	5.37117161390721	0
MA_10105090g0010	4.47393118833241	46.3388187268784
MA_10105635g0010	-1.24692632455215	0
MA_10106333g0010	1.11139944276725	0
MA_10108167g0010	1.50761094494147	0
MA_10113463g0010	1.01155057591305	0
MA_10115166g0010	1.24407884193507	0
MA_10115609g0010	2.30370083093216	0
MA_10117005g0010	-3.07156751908868	0
MA_10117498g0010	-1.76372596287507	0
MA_10118613g0010	1.23938644402293	0
MA_101187g0010	-1.03417933987471	0
MA_10120560g0010	-11.951284714967	0
MA_10122566g0010	-1.40251318988465	0
MA_101256g0010	-13.0136716140586	0
MA_10126084g0010	2.68698492214873	0
MA_10126g0010	2.05984722183176	0
MA_10128792g0010	1.94057127204945	0
MA_101288g0010	-1.44631408283782	0
MA_101290g0010	1.77094196646588	0
MA_101292g0010	-1.04335723205001	0
MA_10132073g0010	1.86190314083521	0
MA_10133533g0010	-4.55737666904926	0
MA_10133755g0010	-1.53910681179137	0
MA_10135105g0010	-2.20053298737271	0
MA_10135647g0010	-2.32530545508968	0
MA_10135850g0010	3.62321518334582	0
MA_10137074g0010	1.66552222764465	49.39785267725376
MA_10137384g0010	1.51481987170876	0
MA_10139g0010	-1.24265532522895	0
MA_101402g0010	-1.00181940252486	0
MA_10140789g0010	-3.45609898827827	0
MA_10142501g0010	2.68957190749594	0
MA_10142568g0010	-2.2911748861983	0
MA_10142595g0010	4.77807712953536	0
MA_10143614g0010	-1.71467040208707	0
MA_101436g0010	-3.56745148956099	0
MA_101446g0010	-1.38157358770179	0
MA_10144850g0010	-1.70143162078653	0
MA_101453g0010	-1.02368641268552	0
MA_10145917g0010	1.28996131007935	0
MA_10145939g0010	-2.36074734377789	0
MA_10146195g0010	-2.4662617603107	0
MA_10146532g0010	11.3663222142458	0
MA_10147276g0010	-1.67301234818034	0
MA_101494g0010	2.2125446353801	0
MA_10150752g0010	2.61798356348571	0
MA_10151149g0010	8.14908437006761	0
MA_10151735g0010	1.09058314689624	0
MA_101518g0010	-1.47405801309105	0
MA_10152409g0010	2.31698735361709	0
MA_101536g0010	1.90254164148169	0
MA_10153966g0010	3.08624090171894	0
MA_10155182g0010	2.13238564466622	0
MA_10155901g0010	1.4215924789828	0
MA_10157g0010	-1.9490918291535	0
MA_10159883g0010	-1.02379268589338	0
MA_101601g0010	-1.15104153362156	0
MA_10162007g0010	-1.01652860187952	0
MA_101621g0020	2.82559554023301	0
MA_10164180g0020	-2.50250034052919	0
MA_10164206g0010	1.10794418960565	0
MA_101646g0010	1.46014717626417	0
MA_10165349g0010	-1.87119822897295	0
MA_10165689g0010	2.29463628224986	0
MA_10165844g0010	-1.40883996579217	0
MA_10168324g0010	2.40595964216405	0
MA_10170948g0010	1.1094038618667	0
MA_10171864g0010	2.54394230281467	0
MA_10171901g0010	3.68005059778253	0
MA_10172523g0010	-1.73470260133192	0
MA_10173729g0010	-1.11640334992161	0
MA_101752g0010	1.28480502850501	0
MA_101752g0020	1.61163428059643	0
MA_10175544g0010	-12.5579422867874	0
MA_101756g0010	-1.079934884358	0
MA_10176420g0010	-2.04936607732098	0
MA_10176945g0010	2.5706828651318	0
MA_10177719g0010	-2.51486637373329	0
