Sample	A-1	A-2	A-3	A-4	A-5	B-1	B-2	B-3	B-4	B-5	C-1	C-2	C-3	C-4	C-5	D-1	D-2	D-3	D-4	D-5
Clostridioides_difficile	4.83E-05	7.69E-06	4.64E-06	2.29E-06	2.21E-06	3.53E-05	9.59E-06	0.484700928	2.47E-06	8.16E-06	0.653456168	0.68248635	0.000104767	0.63714347	0.530892125	0.645382236	0.63139545	0.657699249	0.632603153	0.594071894
Acinetobacter_baumannii	0.249420738	7.69E-06	2.32E-06	2.29E-05	2.21E-06	0.362912129	0.363745337	0.005264197	2.47E-06	2.99E-05	0.006952894	0.004777404	0.0151912	0.006776753	0.004429992	0.006849315	0.007408699	0.00570781	0.006243821	0.004877023
Prevotella_sp._P2-180	0.006323615	0.001384615	0.094775179	0.066655208	0.059039349	0.004840006	0.002953615	0.004474567	0.078692347	0.035613904	0.001100875	0.00052499	0.001152436	0.002358996	0.007210519	0.00154662	0.001133095	0.000797415	0.002185337	0.002438512
Clostridium_sp._CAG:221	0.000965437	0.317823077	0.005652157	0.001343005	0.001480409	0.000494599	0.000316459	0.00187537	0.004755235	0.007267533	0.000231763	0.000104998	0.000419068	0.000214454	0.000471276	0.000220946	0.000217903	0.000419692	0.000468287	0.000546563
Prevotella_sp._P5-92	0.003379031	0.001069231	0.076857726	0.068484078	0.053513815	0.002958763	0.001591883	0.003355926	0.041384132	0.050298619	0.001158816	0.00052499	0.000628601	0.002573451	0.006362223	0.000618648	0.000871612	0.0005456	0.001560955	0.003405508
Staphylococcus_aureus	0.001641243	7.69E-06	2.32E-06	2.29E-06	2.21E-06	8.83E-06	9.59E-06	0.03020333	7.41E-06	5.44E-06	0.000405585	0.000157497	0.115767417	4.29E-05	0.027711014	0.038002651	0.000522967	4.20E-05	5.20E-05	4.20E-05
Lactobacillus_paracasei	0.039196756	1.54E-05	0.00024837	2.29E-06	4.65E-05	0.062425479	0.066398796	3.29E-05	0.000128453	2.72E-06	0	5.25E-05	0.000523834	0.000171563	4.71E-05	0.000132567	0	0	0.000156096	8.41E-05
Firmicutes_bacterium_CAG:110	0.002268778	0.000476923	0.035598142	0.019718794	0.036538896	0.00107752	0.000882249	0.000723827	0.021822206	0.019895245	0.000405585	0.000209996	0.000419068	0.000471799	0.002497761	8.84E-05	0.000479386	0.000335754	0.000468287	0.002060122
uncultured_bacterium	0.021818884	0.003292308	0.004020343	0.004228402	0.003343645	0.032307923	0.032892529	0.000493518	0.004238952	0.003852799	0.000521467	0.000419992	0.001257203	0.000343127	0.001083934	0.000707026	0.00074087	0.000461661	0.000520318	0.000420433
Enterobacter_sp._EC-NT1	0.028625217	0.002861538	0.000197303	4.35E-05	1.33E-05	0.040786766	0.042434239	0	6.42E-05	0.000116999	5.79E-05	0	0	4.29E-05	4.71E-05	8.84E-05	0	0	0.000260159	4.20E-05
Others	0.526742614	0.375953846	0.652103368	0.703544295	0.709673779	0.42036512	0.413256744	0.268375337	0.699459262	0.768736821	0.283156614	0.261602268	0.740597171	0.285438559	0.340072576	0.256076005	0.297132398	0.281991019	0.293615693	0.324027749
Unclassified	0.119569415	0.2971	0.130538127	0.13595288	0.136343721	0.071787534	0.075508971	0.200500099	0.149442835	0.114171825	0.052552292	0.049139017	0.123939235	0.064422046	0.079174325	0.050287229	0.060097621	0.051999832	0.061865862	0.067984024
