ID	Type	Family
NtMADS4	I	Mα
NtMADS7	I	Mα
NtMADS15	I	Mα
NtMADS18	I	Mα
NtMADS20	I	Mα
NtMADS22	I	Mα
NtMADS23	I	Mα
NtMADS36	I	Mα
NtMADS40	I	Mα
NtMADS41	I	Mα
NtMADS44	I	Mα
NtMADS45	I	Mα
NtMADS46	I	Mα
NtMADS47	I	Mα
NtMADS49	I	Mα
NtMADS51	I	Mα
NtMADS53	I	Mα
NtMADS55	I	Mα
NtMADS57	I	Mα
NtMADS66	I	Mα
NtMADS67	I	Mα
NtMADS68	I	Mα
NtMADS69	I	Mα
NtMADS70	I	Mα
NtMADS74	I	Mα
NtMADS75	I	Mα
NtMADS77	I	Mα
NtMADS87	I	Mα
NtMADS88	I	Mα
NtMADS90	I	Mα
NtMADS93	I	Mα
NtMADS95	I	Mα
NtMADS101	I	Mα
NtMADS102	I	Mα
NtMADS105	I	Mα
NtMADS106	I	Mα
NtMADS113	I	Mα
NtMADS119	I	Mα
NtMADS121	I	Mα
NtMADS122	I	Mα
NtMADS124	I	Mα
NtMADS126	I	Mα
NtMADS128	I	Mα
NtMADS129	I	Mα
NtMADS134	I	Mα
NtMADS138	I	Mα
NtMADS139	I	Mα
NtMADS140	I	Mα
NtMADS145	I	Mα
NtMADS146	I	Mα
NtMADS147	I	Mα
NtMADS153	I	Mα
NtMADS158	I	Mα
NtMADS163	I	Mα
NtMADS165	I	Mα
NtMADS167	I	Mα
NtMADS172	I	Mα
NtMADS174	I	Mα
NtMADS177	I	Mα
NtMADS178	I	Mα
NtMADS179	I	Mα
NtMADS187	I	Mα
NtMADS188	I	Mα
NtMADS191	I	Mα
NtMADS26	I	Mβ
NtMADS31	I	Mβ
NtMADS60	I	Mβ
NtMADS100	I	Mβ
NtMADS112	I	Mβ
NtMADS127	I	Mβ
NtMADS155	I	Mβ
NtMADS166	I	Mβ
NtMADS5	I	Mγ
NtMADS9	I	Mγ
NtMADS30	I	Mγ
NtMADS34	I	Mγ
NtMADS37	I	Mγ
NtMADS58	I	Mγ
NtMADS64	I	Mγ
NtMADS71	I	Mγ
NtMADS86	I	Mγ
NtMADS99	I	Mγ
NtMADS103	I	Mγ
NtMADS135	I	Mγ
NtMADS173	I	Mγ
NtMADS175	I	Mγ
NtMADS6	II	MICK*
NtMADS11	II	MICK*
NtMADS59	II	MICK*
NtMADS111	II	MICK*
NtMADS130	II	MICK*
NtMADS168	II	MICK*
NtMADS171	II	MICK*
NtMADS183	II	MICK*
NtMADS1	II	MICKc
NtMADS2	II	MICKc
NtMADS3	II	MICKc
NtMADS8	II	MICKc
NtMADS10	II	MICKc
NtMADS12	II	MICKc
NtMADS13	II	MICKc
NtMADS14	II	MICKc
NtMADS16	II	MICKc
NtMADS17	II	MICKc
NtMADS19	II	MICKc
NtMADS21	II	MICKc
NtMADS24	II	MICKc
NtMADS25	II	MICKc
NtMADS27	II	MICKc
NtMADS28	II	MICKc
NtMADS29	II	MICKc
NtMADS32	II	MICKc
NtMADS33	II	MICKc
NtMADS35	II	MICKc
NtMADS38	II	MICKc
NtMADS39	II	MICKc
NtMADS42	II	MICKc
NtMADS43	II	MICKc
NtMADS48	II	MICKc
NtMADS50	II	MICKc
NtMADS52	II	MICKc
NtMADS54	II	MICKc
NtMADS56	II	MICKc
NtMADS61	II	MICKc
NtMADS62	II	MICKc
NtMADS63	II	MICKc
NtMADS65	II	MICKc
NtMADS72	II	MICKc
NtMADS73	II	MICKc
NtMADS76	II	MICKc
NtMADS78	II	MICKc
NtMADS79	II	MICKc
NtMADS80	II	MICKc
NtMADS81	II	MICKc
NtMADS82	II	MICKc
NtMADS83	II	MICKc
NtMADS84	II	MICKc
NtMADS85	II	MICKc
NtMADS89	II	MICKc
NtMADS91	II	MICKc
NtMADS92	II	MICKc
NtMADS94	II	MICKc
NtMADS96	II	MICKc
NtMADS97	II	MICKc
NtMADS98	II	MICKc
NtMADS104	II	MICKc
NtMADS107	II	MICKc
NtMADS108	II	MICKc
NtMADS109	II	MICKc
NtMADS110	II	MICKc
NtMADS114	II	MICKc
NtMADS115	II	MICKc
NtMADS116	II	MICKc
NtMADS117	II	MICKc
NtMADS118	II	MICKc
NtMADS120	II	MICKc
NtMADS123	II	MICKc
NtMADS125	II	MICKc
NtMADS131	II	MICKc
NtMADS132	II	MICKc
NtMADS133	II	MICKc
NtMADS136	II	MICKc
NtMADS137	II	MICKc
NtMADS141	II	MICKc
NtMADS142	II	MICKc
NtMADS143	II	MICKc
NtMADS144	II	MICKc
NtMADS148	II	MICKc
NtMADS149	II	MICKc
NtMADS150	II	MICKc
NtMADS151	II	MICKc
NtMADS152	II	MICKc
NtMADS154	II	MICKc
NtMADS156	II	MICKc
NtMADS157	II	MICKc
NtMADS159	II	MICKc
NtMADS160	II	MICKc
NtMADS161	II	MICKc
NtMADS162	II	MICKc
NtMADS164	II	MICKc
NtMADS169	II	MICKc
NtMADS170	II	MICKc
NtMADS176	II	MICKc
NtMADS180	II	MICKc
NtMADS181	II	MICKc
NtMADS182	II	MICKc
NtMADS184	II	MICKc
NtMADS185	II	MICKc
NtMADS186	II	MICKc
NtMADS189	II	MICKc
NtMADS190	II	MICKc
