id	CON_count	OGD_count	CON_fpkm	OGD_fpkm	log2(FC)	Pvalue	FDR	significant
ENSMUST00000008011	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000013706	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000020222	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000021520	0	0.666666666666667	0.001	0.0333333333333333	5.05889368905357	0.673761489304399	1	no
ENSMUST00000022427	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000022711	0	0.333333333333333	0.001	0.0166666666666667	4.05889368905357	0.999999999999998	1	no
ENSMUST00000024796	0.666666666666667	1.67	0.01	0.02	1	0.774881430738911	1	no
ENSMUST00000028061	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000029642	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000030910	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000030975	0	0.393333333333333	0.001	0.03	4.90689059560852	1	1	no
ENSMUST00000032872	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000033651	3.19333333333333	6	0.0466666666666667	0.0833333333333333	0.836501267717119	0.76099549239902	1	no
ENSMUST00000033963	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000034550	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000035860	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000036023	4.66666666666667	2	0.25	0.103333333333333	-1.27462238010901	0.16189053918684	1	no
ENSMUST00000036304	4.66666666666667	3	0.173333333333333	0.103333333333333	-0.746243407754219	0.382736639267098	1	no
ENSMUST00000037953	66.3333333333333	69.0233333333333	1.01333333333333	1.06333333333333	0.069485100321284	0.344053028340174	1	no
ENSMUST00000038032	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000038250	1.33333333333333	1.33333333333333	0.0433333333333333	0.0433333333333333	0	0.810741218731293	1	no
ENSMUST00000038450	40.9633333333333	56.8033333333333	0.463333333333333	0.63	0.443301351497566	0.816223530023274	1	no
ENSMUST00000040608	44	61.6666666666667	0.453333333333333	0.64	0.497499659470818	0.719209688394504	1	no
ENSMUST00000041998	1.66666666666667	2	0.07	0.09	0.362570079384708	1	1	no
ENSMUST00000042671	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000043553	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000044347	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000044964	0.726666666666667	0.753333333333333	0.0233333333333333	0.03	0.36257007938471	0.999999999999997	1	no
ENSMUST00000047876	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000048109	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000048606	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000048921	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000050571	0	0	0.001	0.001	0	1	1	notest
ENSMUST00000050754	13.6666666666667	20.6666666666667	0.19	0.293333333333333	0.626541604472554	0.686602310446094	1	no
ENSMUST00000051089	6.40666666666667	13.9566666666667	0.133333333333333	0.293333333333333	1.13750352374994	0.283551323380516	1	no
ENSMUST00000052189	35.6666666666667	39	0.453333333333333	0.496666666666667	0.131705679211824	0.508307552354482	1	no
ENSMUST00000052806	0	0	0.001	0.001	0	1	1	notest
